Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Salesperson,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager,DeliveryTime,Day_of_Week,is_weekend,quarter,DiscountValue,month,year,day,dayofweek,weekofyear,Revenue,Month,Month_Year,Quarter,Year,date,Delivery_time
2024-05-23,North,Desk,5,288.01,Store A,Wholesale,Eva,Credit Card,FREESHIP,0,REG100024,Cust 8538,46.69,2024-05-23,2024-05-30,Ryan,7,3,False,2,0.0,5,2024,23,3,21,1440.05,5,2024-05,2,2024,2024-05-23,7
2023-10-23,East,Phone,13,562.29,Store D,Retail,Diana,Gift Card,SAVE10,0,REG100025,Cust 6322,38.13,2023-10-23,2023-10-28,Eric,5,0,False,4,0.0,10,2023,23,0,43,7309.7699999999995,10,2023-10,4,2023,2023-10-23,5
2023-03-03,North,Phone,4,279.49,Store B,Retail,Diana,Credit Card,FREESHIP,0,REG100027,Cust 6880,24.78,2023-03-03,2023-03-08,Ryan,5,4,False,1,0.0,3,2023,3,4,9,1117.96,3,2023-03,1,2023,2023-03-03,5
2024-11-18,South,Laptop,1,178.55,Store A,Retail,Carlos,Debit Card,SAVE10,1,REG100028,Cust 1997,7.61,2024-11-18,2024-11-21,Sophie,3,0,False,4,26.782500000000002,11,2024,18,0,47,151.7675,11,2024-11,4,2024,2024-11-18,3
2023-05-09,Central,Tablet,1,472.07,Store A,Wholesale,Carlos,Online,FREESHIP,0,REG100029,Cust 7072,33.17,2023-05-09,2023-05-17,Cameron,8,1,False,2,47.207,5,2023,9,1,19,424.863,5,2023-05,2,2023,2023-05-09,8
2024-12-07,North,Tablet,12,306.29,Store D,Retail,Frank,Debit Card,SAVE10,0,REG100030,Cust 7201,37.38,2024-12-07,2024-12-14,Ryan,7,5,True,4,0.0,12,2024,7,5,49,3675.4800000000005,12,2024-12,4,2024,2024-12-07,7
2024-02-13,North,Phone,7,434.77,Store C,Retail,Frank,Online,SAVE10,0,REG100031,Cust 9923,12.35,2024-02-13,2024-02-15,Ryan,2,1,False,1,65.21549999999999,2,2024,13,1,7,2586.8815,2,2024-02,1,2024,2024-02-13,2
2023-04-05,Central,Desk,17,476.49,Store D,Retail,Alice,Gift Card,NULL,0,REG100033,Cust 6403,17.91,2023-04-05,2023-04-11,Cameron,6,2,False,2,0.0,4,2023,5,2,14,8100.33,4,2023-04,2,2023,2023-04-05,6
2023-09-03,North,Tablet,14,82.14,Store C,Retail,Alice,Credit Card,NULL,0,REG100035,Cust 7902,12.57,2023-09-03,2023-09-11,Ryan,8,6,True,3,0.0,9,2023,3,6,35,1149.96,9,2023-09,3,2023,2023-09-03,8
2024-02-15,Central,Printer,14,428.13,Store C,Retail,Bob,Cash,NULL,1,REG100038,Cust 2469,24.77,2024-02-15,2024-02-25,Cameron,10,3,False,1,42.813,2,2024,15,3,7,5394.438,2,2024-02,1,2024,2024-02-15,10
2023-06-09,Central,Laptop,2,503.28,Store D,Retail,Alice,Gift Card,NULL,0,REG100039,Cust 6468,34.79,2023-06-09,2023-06-17,Cameron,8,4,False,2,75.49199999999999,6,2023,9,4,23,855.5759999999999,6,2023-06,2,2023,2023-06-09,8
2023-08-10,South,Printer,5,470.32,Store A,Retail,Eva,Debit Card,SAVE10,0,REG100040,Cust 5312,17.77,2023-08-10,2023-08-14,Sophie,4,3,False,3,47.032000000000004,8,2023,10,3,32,2116.44,8,2023-08,3,2023,2023-08-10,4
2024-06-16,Central,Printer,20,65.17,Store C,Wholesale,Eva,Gift Card,FREESHIP,0,REG100041,Cust 1482,21.72,2024-06-16,2024-06-25,Cameron,9,6,True,2,3.2585,6,2024,16,6,24,1238.23,6,2024-06,2,2024,2024-06-16,9
2023-07-23,South,Laptop,12,36.17,Store A,Retail,Eva,Online,WINTER15,0,REG100042,Cust 7903,34.85,2023-07-23,2023-07-26,Sophie,3,6,True,3,0.0,7,2023,23,6,29,434.04,7,2023-07,3,2023,2023-07-23,3
2023-05-20,Central,Printer,4,459.31,Store D,Wholesale,Carlos,Gift Card,WINTER15,1,REG100043,Cust 9605,27.39,2023-05-20,2023-05-27,Cameron,7,5,True,2,68.8965,5,2023,20,5,20,1561.654,5,2023-05,2,2023,2023-05-20,7
2023-06-30,South,Laptop,2,416.06,Store D,Retail,Eva,Debit Card,SAVE10,0,REG100044,Cust 3298,11.62,2023-06-30,2023-07-04,Sophie,4,4,False,2,20.803,6,2023,30,4,26,790.514,6,2023-06,2,2023,2023-06-30,4
2024-06-04,South,Tablet,16,302.58,Store D,Retail,Alice,Online,WINTER15,1,REG100045,Cust 5533,20.76,2024-06-04,2024-06-14,Sophie,10,1,False,2,0.0,6,2024,4,1,23,4841.28,6,2024-06,2,2024,2024-06-04,10
2024-01-09,East,Tablet,8,582.52,Store D,Retail,Frank,Gift Card,WINTER15,0,REG100047,Cust 4826,6.47,2024-01-09,2024-01-13,Eric,4,1,False,1,87.378,1,2024,9,1,2,3961.136,1,2024-01,1,2024,2024-01-09,4
2024-03-14,North,Desk,5,165.15,Store A,Retail,Eva,Gift Card,NULL,0,REG100048,Cust 2171,20.57,2024-03-14,2024-03-16,Ryan,2,3,False,1,16.515,3,2024,14,3,11,743.1750000000001,3,2024-03,1,2024,2024-03-14,2
2024-09-06,West,Monitor,14,242.82,Store D,Wholesale,Alice,Cash,WINTER15,1,REG100049,Cust 4005,20.71,2024-09-06,2024-09-13,Wendy,7,4,False,3,36.422999999999995,9,2024,6,4,36,2889.558,9,2024-09,3,2024,2024-09-06,7
2023-03-17,East,Monitor,13,65.99,Store A,Wholesale,Frank,Cash,WINTER15,0,REG100050,Cust 7032,12.87,2023-03-17,2023-03-20,Eric,3,4,False,1,6.599,3,2023,17,4,11,772.083,3,2023-03,1,2023,2023-03-17,3
2024-09-12,South,Laptop,1,269.41,Store B,Wholesale,Eva,Cash,WINTER15,1,REG100052,Cust 5702,19.22,2024-09-12,2024-09-18,Sophie,6,3,False,3,26.941000000000003,9,2024,12,3,37,242.46900000000002,9,2024-09,3,2024,2024-09-12,6
2024-01-05,South,Monitor,2,371.3,Store B,Wholesale,Bob,Credit Card,SAVE10,0,REG100053,Cust 4944,36.51,2024-01-05,2024-01-15,Sophie,10,4,False,1,18.565,1,2024,5,4,1,705.47,1,2024-01,1,2024,2024-01-05,10
2024-04-19,West,Tablet,11,288.24,Store A,Wholesale,Diana,Online,NULL,0,REG100054,Cust 8149,37.39,2024-04-19,2024-04-25,Wendy,6,4,False,2,43.236,4,2024,19,4,16,2695.0440000000003,4,2024-04,2,2024,2024-04-19,6
2023-05-24,East,Chair,5,100.38,Store C,Retail,Eva,Gift Card,WINTER15,1,REG100057,Cust 4214,18.35,2023-05-24,2023-05-26,Eric,2,2,False,2,10.038,5,2023,24,2,21,451.71,5,2023-05,2,2023,2023-05-24,2
2023-01-27,South,Phone,11,375.48,Store B,Retail,Bob,Debit Card,WINTER15,0,REG100058,Cust 2647,15.95,2023-01-27,2023-02-03,Sophie,7,4,False,1,18.774,1,2023,27,4,4,3923.7660000000005,1,2023-01,1,2023,2023-01-27,7
2024-03-21,South,Laptop,18,316.89,Store B,Wholesale,Bob,Cash,FREESHIP,0,REG100059,Cust 3552,15.69,2024-03-21,2024-03-27,Sophie,6,3,False,1,15.8445,3,2024,21,3,12,5418.8189999999995,3,2024-03,1,2024,2024-03-21,6
2023-06-12,Central,Phone,8,301.68,Store D,Retail,Eva,Cash,SAVE10,0,REG100061,Cust 3903,36.54,2023-06-12,2023-06-21,Cameron,9,0,False,2,0.0,6,2023,12,0,24,2413.44,6,2023-06,2,2023,2023-06-12,9
2024-02-24,Central,Desk,16,47.25,Store D,Retail,Bob,Debit Card,FREESHIP,0,REG100063,Cust 8144,29.5,2024-02-24,2024-02-27,Cameron,3,5,True,1,7.0874999999999995,2,2024,24,5,8,642.6,2,2024-02,1,2024,2024-02-24,3
2023-12-09,South,Chair,15,511.17,Store B,Wholesale,Frank,Online,FREESHIP,0,REG100064,Cust 6747,21.77,2023-12-09,2023-12-12,Sophie,3,5,True,4,0.0,12,2023,9,5,49,7667.55,12,2023-12,4,2023,2023-12-09,3
2023-10-01,Central,Monitor,3,66.58,Store B,Retail,Frank,Debit Card,FREESHIP,0,REG100065,Cust 8330,22.43,2023-10-01,2023-10-05,Cameron,4,6,True,4,6.658,10,2023,1,6,39,179.76600000000002,10,2023-10,4,2023,2023-10-01,4
2023-07-31,West,Tablet,5,490.52,Store D,Wholesale,Frank,Online,NULL,0,REG100066,Cust 7186,12.24,2023-07-31,2023-08-07,Wendy,7,0,False,3,24.526,7,2023,31,0,31,2329.97,7,2023-07,3,2023,2023-07-31,7
2024-12-24,South,Chair,8,405.96,Store A,Wholesale,Carlos,Credit Card,WINTER15,0,REG100067,Cust 8287,41.27,2024-12-24,2024-12-31,Sophie,7,1,False,4,20.298000000000002,12,2024,24,1,52,3085.296,12,2024-12,4,2024,2024-12-24,7
2024-11-15,North,Phone,1,159.41,Store B,Retail,Bob,Credit Card,FREESHIP,0,REG100068,Cust 3986,35.14,2024-11-15,2024-11-19,Ryan,4,4,False,4,15.941,11,2024,15,4,46,143.469,11,2024-11,4,2024,2024-11-15,4
2024-03-03,East,Tablet,15,328.36,Store D,Retail,Alice,Gift Card,WINTER15,0,REG100070,Cust 1907,15.76,2024-03-03,2024-03-12,Eric,9,6,True,1,49.254,3,2024,3,6,9,4186.59,3,2024-03,1,2024,2024-03-03,9
2023-02-11,Central,Tablet,20,548.01,Store A,Wholesale,Eva,Credit Card,WINTER15,1,REG100071,Cust 4639,5.89,2023-02-11,2023-02-14,Cameron,3,5,True,1,54.801,2,2023,11,5,6,9864.18,2,2023-02,1,2023,2023-02-11,3
2023-10-26,South,Desk,13,484.45,Store B,Wholesale,Carlos,Gift Card,WINTER15,1,REG100072,Cust 4153,6.57,2023-10-26,2023-11-05,Sophie,10,3,False,4,24.2225,10,2023,26,3,43,5982.9574999999995,10,2023-10,4,2023,2023-10-26,10
2023-10-21,South,Monitor,13,195.84,Store A,Wholesale,Alice,Credit Card,NULL,0,REG100073,Cust 7096,33.52,2023-10-21,2023-10-28,Sophie,7,5,True,4,9.792000000000002,10,2023,21,5,42,2418.624,10,2023-10,4,2023,2023-10-21,7
2024-01-14,Central,Tablet,19,29.94,Store D,Retail,Diana,Debit Card,FREESHIP,0,REG100074,Cust 3806,33.59,2024-01-14,2024-01-20,Cameron,6,6,True,1,4.491,1,2024,14,6,2,483.531,1,2024-01,1,2024,2024-01-14,6
2023-07-27,Central,Desk,10,553.91,Store D,Wholesale,Eva,Online,NULL,0,REG100075,Cust 9345,31.3,2023-07-27,2023-07-31,Cameron,4,3,False,3,55.391,7,2023,27,3,30,4985.19,7,2023-07,3,2023,2023-07-27,4
2024-10-23,South,Phone,14,445.52,Store B,Retail,Bob,Online,SAVE10,0,REG100076,Cust 4456,14.41,2024-10-23,2024-10-25,Sophie,2,2,False,4,44.552,10,2024,23,2,43,5613.552,10,2024-10,4,2024,2024-10-23,2
2023-09-26,South,Chair,5,551.58,Store B,Retail,Alice,Online,WINTER15,1,REG100077,Cust 1089,7.87,2023-09-26,2023-10-01,Sophie,5,1,False,3,82.73700000000001,9,2023,26,1,39,2344.215,9,2023-09,3,2023,2023-09-26,5
2023-12-16,East,Phone,13,241.4,Store D,Retail,Carlos,Gift Card,SAVE10,0,REG100078,Cust 7230,49.05,2023-12-16,2023-12-20,Eric,4,5,True,4,0.0,12,2023,16,5,50,3138.2000000000003,12,2023-12,4,2023,2023-12-16,4
2024-01-02,Central,Printer,19,351.93,Store A,Wholesale,Alice,Credit Card,NULL,0,REG100079,Cust 6597,39.98,2024-01-02,2024-01-05,Cameron,3,1,False,1,0.0,1,2024,2,1,1,6686.67,1,2024-01,1,2024,2024-01-02,3
2024-02-16,North,Phone,4,83.75,Store A,Retail,Alice,Debit Card,SAVE10,1,REG100080,Cust 4108,38.82,2024-02-16,2024-02-25,Ryan,9,4,False,1,4.1875,2,2024,16,4,7,318.25,2,2024-02,1,2024,2024-02-16,9
2024-05-03,East,Monitor,5,416.95,Store A,Wholesale,Frank,Online,NULL,1,REG100081,Cust 2883,24.03,2024-05-03,2024-05-12,Eric,9,4,False,2,62.5425,5,2024,3,4,18,1772.0375,5,2024-05,2,2024,2024-05-03,9
2023-05-27,West,Monitor,18,142.43,Store C,Retail,Bob,Credit Card,SAVE10,1,REG100082,Cust 5018,12.38,2023-05-27,2023-06-02,Wendy,6,5,True,2,7.121500000000001,5,2023,27,5,21,2435.553,5,2023-05,2,2023,2023-05-27,6
2023-01-05,East,Desk,12,582.52,Store A,Wholesale,Bob,Credit Card,FREESHIP,0,REG100083,Cust 1231,41.16,2023-01-05,2023-01-11,Eric,6,3,False,1,0.0,1,2023,5,3,1,6990.24,1,2023-01,1,2023,2023-01-05,6
2023-07-21,Central,Tablet,17,431.82,Store B,Retail,Eva,Gift Card,FREESHIP,1,REG100085,Cust 6684,37.75,2023-07-21,2023-07-25,Cameron,4,4,False,3,0.0,7,2023,21,4,29,7340.94,7,2023-07,3,2023,2023-07-21,4
2024-11-16,South,Tablet,20,548.34,Store B,Retail,Bob,Gift Card,WINTER15,0,REG100087,Cust 9159,33.47,2024-11-16,2024-11-22,Sophie,6,5,True,4,54.834,11,2024,16,5,46,9870.12,11,2024-11,4,2024,2024-11-16,6
2023-11-19,North,Laptop,16,525.83,Store C,Wholesale,Frank,Online,NULL,0,REG100088,Cust 4844,36.47,2023-11-19,2023-11-25,Ryan,6,6,True,4,26.291500000000003,11,2023,19,6,46,7992.616,11,2023-11,4,2023,2023-11-19,6
2023-03-29,North,Monitor,19,559.95,Store A,Wholesale,Carlos,Credit Card,WINTER15,0,REG100090,Cust 8160,18.3,2023-03-29,2023-04-03,Ryan,5,2,False,1,55.995000000000005,3,2023,29,2,13,9575.145,3,2023-03,1,2023,2023-03-29,5
2023-10-18,North,Chair,12,494.15,Store B,Wholesale,Diana,Online,SAVE10,1,REG100092,Cust 1127,18.05,2023-10-18,2023-10-20,Ryan,2,2,False,4,74.12249999999999,10,2023,18,2,42,5040.329999999999,10,2023-10,4,2023,2023-10-18,2
2024-04-21,West,Printer,17,309.52,Store B,Wholesale,Eva,Online,FREESHIP,0,REG100095,Cust 2539,6.11,2024-04-21,2024-04-27,Wendy,6,6,True,2,15.475999999999999,4,2024,21,6,16,4998.748,4,2024-04,2,2024,2024-04-21,6
2024-05-26,West,Laptop,20,491.68,Store D,Wholesale,Alice,Online,SAVE10,1,REG100098,Cust 4384,43.46,2024-05-26,2024-05-29,Wendy,3,6,True,2,73.752,5,2024,26,6,21,8358.56,5,2024-05,2,2024,2024-05-26,3
2023-07-22,North,Phone,17,468.45,Store A,Retail,Carlos,Credit Card,FREESHIP,0,REG100099,Cust 7756,17.88,2023-07-22,2023-07-26,Ryan,4,5,True,3,23.4225,7,2023,22,5,29,7565.4675,7,2023-07,3,2023,2023-07-22,4
2024-03-21,North,Laptop,11,401.76,Store D,Retail,Frank,Gift Card,SAVE10,0,REG100100,Cust 6086,48.03,2024-03-21,2024-03-30,Ryan,9,3,False,1,60.263999999999996,3,2024,21,3,12,3756.4559999999997,3,2024-03,1,2024,2024-03-21,9
2023-04-05,West,Printer,3,221.0,Store B,Wholesale,Frank,Cash,FREESHIP,0,REG100101,Cust 3845,32.31,2023-04-05,2023-04-08,Wendy,3,2,False,2,0.0,4,2023,5,2,14,663.0,4,2023-04,2,2023,2023-04-05,3
2024-08-26,East,Monitor,6,188.45,Store C,Wholesale,Alice,Gift Card,NULL,0,REG100102,Cust 9996,6.77,2024-08-26,2024-09-01,Eric,6,0,False,3,9.4225,8,2024,26,0,35,1074.1649999999997,8,2024-08,3,2024,2024-08-26,6
2024-07-07,North,Desk,3,566.2,Store D,Retail,Bob,Gift Card,FREESHIP,1,REG100103,Cust 1711,28.97,2024-07-07,2024-07-17,Ryan,10,6,True,3,0.0,7,2024,7,6,27,1698.6000000000001,7,2024-07,3,2024,2024-07-07,10
2023-09-29,East,Monitor,14,167.09,Store D,Retail,Alice,Gift Card,SAVE10,1,REG100104,Cust 4522,47.05,2023-09-29,2023-10-08,Eric,9,4,False,3,8.3545,9,2023,29,4,39,2222.297,9,2023-09,3,2023,2023-09-29,9
2023-10-04,West,Monitor,16,36.16,Store C,Wholesale,Carlos,Debit Card,FREESHIP,0,REG100105,Cust 4233,26.64,2023-10-04,2023-10-11,Wendy,7,2,False,4,3.6159999999999997,10,2023,4,2,40,520.704,10,2023-10,4,2023,2023-10-04,7
2024-06-29,East,Chair,3,168.05,Store A,Retail,Carlos,Cash,NULL,1,REG100108,Cust 9090,21.08,2024-06-29,2024-07-06,Eric,7,5,True,2,0.0,6,2024,29,5,26,504.15000000000003,6,2024-06,2,2024,2024-06-29,7
2024-03-23,North,Printer,14,37.54,Store B,Retail,Alice,Credit Card,NULL,1,REG100109,Cust 1983,49.6,2024-03-23,2024-04-02,Ryan,10,5,True,1,5.630999999999999,3,2024,23,5,12,446.72599999999994,3,2024-03,1,2024,2024-03-23,10
2024-07-14,South,Tablet,4,151.16,Store B,Wholesale,Alice,Gift Card,SAVE10,1,REG100110,Cust 8834,41.4,2024-07-14,2024-07-21,Sophie,7,6,True,3,0.0,7,2024,14,6,28,604.64,7,2024-07,3,2024,2024-07-14,7
2024-03-15,South,Tablet,17,78.58,Store A,Wholesale,Bob,Gift Card,WINTER15,0,REG100111,Cust 9780,8.02,2024-03-15,2024-03-25,Sophie,10,4,False,1,7.8580000000000005,3,2024,15,4,11,1202.274,3,2024-03,1,2024,2024-03-15,10
2024-02-15,West,Tablet,18,537.02,Store A,Wholesale,Carlos,Debit Card,SAVE10,0,REG100113,Cust 3173,23.94,2024-02-15,2024-02-20,Wendy,5,3,False,1,80.553,2,2024,15,3,7,8216.406,2,2024-02,1,2024,2024-02-15,5
2024-01-25,East,Desk,5,215.6,Store C,Wholesale,Frank,Online,WINTER15,0,REG100114,Cust 8641,28.36,2024-01-25,2024-02-04,Eric,10,3,False,1,0.0,1,2024,25,3,4,1078.0,1,2024-01,1,2024,2024-01-25,10
2024-08-11,West,Printer,2,289.14,Store C,Retail,Diana,Online,SAVE10,0,REG100117,Cust 2015,5.13,2024-08-11,2024-08-13,Wendy,2,6,True,3,14.457,8,2024,11,6,32,549.366,8,2024-08,3,2024,2024-08-11,2
2023-12-01,South,Desk,5,396.93,Store B,Wholesale,Diana,Credit Card,FREESHIP,0,REG100118,Cust 6895,48.63,2023-12-01,2023-12-08,Sophie,7,4,False,4,0.0,12,2023,1,4,48,1984.65,12,2023-12,4,2023,2023-12-01,7
2023-08-06,Central,Laptop,10,508.57,Store D,Retail,Bob,Online,SAVE10,0,REG100119,Cust 1797,9.35,2023-08-06,2023-08-11,Cameron,5,6,True,3,25.4285,8,2023,6,6,31,4831.415,8,2023-08,3,2023,2023-08-06,5
2024-01-24,Central,Laptop,11,259.61,Store C,Wholesale,Carlos,Cash,FREESHIP,0,REG100120,Cust 9969,13.73,2024-01-24,2024-01-31,Cameron,7,2,False,1,25.961000000000002,1,2024,24,2,4,2570.139,1,2024-01,1,2024,2024-01-24,7
2024-03-07,Central,Chair,9,313.29,Store D,Retail,Carlos,Online,FREESHIP,0,REG100121,Cust 1815,14.04,2024-03-07,2024-03-13,Cameron,6,3,False,1,0.0,3,2024,7,3,10,2819.61,3,2024-03,1,2024,2024-03-07,6
2024-01-22,South,Tablet,5,106.57,Store C,Wholesale,Carlos,Debit Card,SAVE10,1,REG100122,Cust 7773,25.24,2024-01-22,2024-01-28,Sophie,6,0,False,1,10.657,1,2024,22,0,4,479.56499999999994,1,2024-01,1,2024,2024-01-22,6
2023-02-23,East,Printer,1,109.0,Store B,Retail,Frank,Cash,WINTER15,1,REG100123,Cust 1499,8.03,2023-02-23,2023-02-27,Eric,4,3,False,1,16.349999999999998,2,2023,23,3,8,92.64999999999999,2,2023-02,1,2023,2023-02-23,4
2023-06-14,North,Tablet,8,323.8,Store B,Retail,Diana,Cash,SAVE10,1,REG100124,Cust 3809,35.23,2023-06-14,2023-06-22,Ryan,8,2,False,2,0.0,6,2023,14,2,24,2590.4,6,2023-06,2,2023,2023-06-14,8
2024-07-30,Central,Printer,16,163.86,Store C,Retail,Diana,Gift Card,FREESHIP,0,REG100126,Cust 7258,37.95,2024-07-30,2024-08-06,Cameron,7,1,False,3,24.579,7,2024,30,1,31,2228.496,7,2024-07,3,2024,2024-07-30,7
2024-07-18,East,Tablet,5,23.41,Store B,Wholesale,Frank,Credit Card,WINTER15,0,REG100127,Cust 1151,26.44,2024-07-18,2024-07-27,Eric,9,3,False,3,0.0,7,2024,18,3,29,117.05,7,2024-07,3,2024,2024-07-18,9
2024-08-26,East,Printer,20,488.9,Store C,Wholesale,Eva,Gift Card,FREESHIP,0,REG100128,Cust 6486,21.77,2024-08-26,2024-09-01,Eric,6,0,False,3,73.335,8,2024,26,0,35,8311.3,8,2024-08,3,2024,2024-08-26,6
2024-07-18,East,Phone,14,442.65,Store B,Retail,Eva,Gift Card,SAVE10,0,REG100131,Cust 2414,28.76,2024-07-18,2024-07-24,Eric,6,3,False,3,0.0,7,2024,18,3,29,6197.099999999999,7,2024-07,3,2024,2024-07-18,6
2023-09-17,West,Laptop,12,469.44,Store B,Wholesale,Bob,Online,FREESHIP,0,REG100132,Cust 9024,33.3,2023-09-17,2023-09-26,Wendy,9,6,True,3,0.0,9,2023,17,6,37,5633.28,9,2023-09,3,2023,2023-09-17,9
2023-03-13,East,Monitor,14,248.77,Store C,Wholesale,Bob,Debit Card,FREESHIP,1,REG100133,Cust 2663,21.76,2023-03-13,2023-03-19,Eric,6,0,False,1,12.438500000000001,3,2023,13,0,11,3308.641,3,2023-03,1,2023,2023-03-13,6
2023-03-29,South,Chair,4,565.29,Store D,Wholesale,Alice,Cash,NULL,0,REG100134,Cust 2293,27.04,2023-03-29,2023-04-03,Sophie,5,2,False,1,28.264499999999998,3,2023,29,2,13,2148.102,3,2023-03,1,2023,2023-03-29,5
2023-07-14,Central,Desk,12,244.8,Store B,Wholesale,Frank,Online,FREESHIP,0,REG100135,Cust 8963,44.75,2023-07-14,2023-07-23,Cameron,9,4,False,3,12.240000000000002,7,2023,14,4,28,2790.7200000000003,7,2023-07,3,2023,2023-07-14,9
